SKU,ASIN,Description,Category,Warehouse,loc,quantity,Available,Committed,PO Reordered,Low Stock Threshold,Price,avg cost,Weight,30 Day Shipments,TV,Length,Width,Height,UPC,Tags
TOPBBY020ZBB,,Breast Milk Boosting Balm,CBD TOPICALS,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,20.00,6.00,0.1875,0.00,0.00,2,2,2,,
TOPBOMB75HON,,Franny's Farmacy CBD Bath Bomb scent: Milk & Honey,Topical,Distribution Warehouse,,29.000000,23.000000,6.000000,0.000000,1,15.00,5.00,0.3,40.00,145.00,3,3,3,,
TOPBOMB75LAV,,Franny's Farmacy CBD Bath Bomb scent: Lavender & Chamomile,Topical,Distribution Warehouse,,89.000000,83.000000,6.000000,0.000000,1,15.00,5.00,0.3,31.00,445.00,3,3,3,,
TOPBRD0008,,Beard Grooming Kit,TOPICAL,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,30.00,26.00,0.4375,4.00,312.00,3,3,6,,
TOPBSALT020Z,,Hemp Infused Bath Salts - 2oz,TOPICAL,Distribution Warehouse,,22.000000,21.000000,1.000000,0.000000,1,15.00,4.25,0.31875,27.00,93.50,3,3,2,,
TOPBSALT080Z,,Hemp Infused Bath Salts - 8oz,TOPICAL,Distribution Warehouse,,11.000000,10.000000,1.000000,0.000000,10,28.00,10.75,0.96875,36.00,118.25,3,3,4,,
TOPFCE020Z60,,Anti-Aging Face Cream,CBD TOPICAL,Distribution Warehouse,,84.000000,84.000000,0.000000,0.000000,5,30.00,8.50,0.325625,43.00,714.00,3,3,2,,
TOPFCEMASK002,,CBD Face Mask 8oz,,Distribution Warehouse,,76.000000,76.000000,0.000000,48.000000,6,35.00,9.50,1.025,7.00,722.00,3,3,4,,
TOPFCEMASK050,,CBD Face Mask 2oz,,Distribution Warehouse,,101.000000,101.000000,0.000000,0.000000,1,15.00,4.50,0.325625,28.00,454.50,3,3,2,,
TOPLIP010MG,,CBD Lip Balm,CBD TOPICAL,Distribution Warehouse,,486.000000,486.000000,0.000000,1200.000000,50,4.20,1.00,0.02,155.00,486.00,3,1,1,,
TOPLOT480ML,,Hemp Lotion,,Distribution Warehouse,,21.000000,21.000000,0.000000,48.000000,1,25.00,0.00,1.05,40.00,0.00,3,3,7,,
TOPLOT600MG,,CBD Healing Lotion,CBD TOPICALS,Distribution Warehouse,,190.000000,190.000000,0.000000,75.000000,1,50.00,15.00,0.159375,70.00,2850.00,2,2,4,,
TOPROLL100MG,,Franny's Farmacy 100mg Healing CBD Oil Roll-on,CBD TOPICAL,Distribution Warehouse,,25.000000,25.000000,0.000000,40.000000,5,35.00,8.00,0.178125,51.00,200.00,2,2,4,,
TOPSAL600MG,,Franny's Farmacy Healing Salve 600mg  2oz,TOPICAL,Distribution Warehouse,,116.000000,109.000000,7.000000,260.000000,75,50.00,16.00,0.328125,300.00,1856.00,3,3,2,,
TOPSHAV0004,,Shaving Soap Kit,,Distribution Warehouse,,38.000000,38.000000,0.000000,0.000000,1,30.00,0.00,0.340625,0.00,0.00,3,3,6,,
TRITOKBDAYCAKE,,TribeTokes Vape Oil Cartridges strain: CBD Birthday Cake Kush (Hybrid),,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
TRITOKCBDKUSH,,TribeTokes Vape Oil Cartridges strain: CBD Kush (Hybrid),,Distribution Warehouse,,11.000000,11.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
TRITOKHAWIIDRM,,TribeTokes Vape Oil Cartridges strain: Hawaiian Dream (Sativa),,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
TRITOKJCYFRT,,TribeTokes Vape Oil Cartridges strain: Juicy Fruit (Hybrid),,Distribution Warehouse,,1.000000,1.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
TRITOKMANHZE,,TribeTokes Vape Oil Cartridges strain: Mango Haze (Sativa),,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,70.00,0.00,0.075,0.00,0.00,4,2,1,,
TRITOKMEDHZE,,TribeTokes Vape Oil Cartridges strain: MediHaze (Sativa),,Distribution Warehouse,,0.000000,0.000000,0.000000,0.000000,1,70.00,0.00,0.075,0.00,0.00,4,2,1,,
TRITOKNRTHLIGHT,,TribeTokes Vape Oil Cartridges strain: Northern Lights (Indica),,Distribution Warehouse,,12.000000,12.000000,0.000000,0.000000,1,70.00,0.00,0.075,8.00,0.00,4,2,1,,
